z    t    r    zmid    tmid    rmid    ly    errly
0    0    0    -1.5150000000000001    0.3141592653589793    1.525    1.747777726488881    0.2336971097151383
0    1    0    -1.5150000000000001    0.9424777960769379    1.525    2.434878372548317    1.5225745701684221
0    2    0    -1.5150000000000001    1.5707963267948966    1.525    1.7989471330876396    0.22183287466260276
0    3    0    -1.5150000000000001    2.199114857512855    1.525    1.9307672204466215    0.11644415731945161
0    4    0    -1.5150000000000001    2.827433388230814    1.525    1.8899632937713169    0.14069266361009078
0    5    0    -1.5150000000000001    3.4557519189487724    1.525    2.0007676833602273    0.09387717089013936
0    6    0    -1.5150000000000001    4.084070449666731    1.525    1.8933001395636802    0.11874401030770192
0    7    0    -1.5150000000000001    4.71238898038469    1.525    1.8200382126198422    0.0975601796775043
0    8    0    -1.5150000000000001    5.340707511102648    1.525    1.9923304936616726    0.11022457569165606
0    9    0    -1.5150000000000001    5.969026041820607    1.525    2.0621613523609943    0.09293094189483858
0    0    1    -1.5150000000000001    0.20943951023931953    4.574999999999999    1.9943883916448677    0.05767754665178621
0    1    1    -1.5150000000000001    0.6283185307179586    4.574999999999999    1.8549697141545722    0.031150925621419443
0    2    1    -1.5150000000000001    1.0471975511965976    4.574999999999999    1.8993591164516859    0.03319666973653692
0    3    1    -1.5150000000000001    1.4660765716752366    4.574999999999999    1.9945461788624004    0.041642575961604276
0    4    1    -1.5150000000000001    1.8849555921538759    4.574999999999999    1.900089157755066    0.04782327757505979
0    5    1    -1.5150000000000001    2.3038346126325147    4.574999999999999    1.9820629612047704    0.047229867326547915
0    6    1    -1.5150000000000001    2.722713633111154    4.574999999999999    1.8376853002104432    0.04957452684399773
0    7    1    -1.5150000000000001    3.141592653589793    4.574999999999999    2.069031328148041    0.04869038394143542
0    8    1    -1.5150000000000001    3.560471674068432    4.574999999999999    1.8903469309314205    0.0444690455913519
0    9    1    -1.5150000000000001    3.979350694547071    4.574999999999999    1.8689904169251794    0.04640591511768817
0    10    1    -1.5150000000000001    4.39822971502571    4.574999999999999    1.8969026101504383    0.04458864327720144
0    11    1    -1.5150000000000001    4.817108735504349    4.574999999999999    1.8180351614323036    0.04898247562670779
0    12    1    -1.5150000000000001    5.235987755982988    4.574999999999999    1.9579023048951496    0.036235263091380344
0    13    1    -1.5150000000000001    5.654866776461628    4.574999999999999    1.9668300286294231    0.045629719874856416
0    14    1    -1.5150000000000001    6.073745796940266    4.574999999999999    1.9906120842240724    0.04220304728406092
0    0    2    -1.5150000000000001    0.15707963267948966    7.625    1.9069249271985687    0.03217835042533264
