z              t              r           zmid           tmid           rmid             ly          errly
0              0              0         -15.15       0.314159          15.25        2.58467      0.0673038
0              1              0         -15.15       0.942478          15.25        2.51234      0.0610586
0              2              0         -15.15         1.5708          15.25        2.49904      0.0602906
0              3              0         -15.15        2.19911          15.25        2.39031      0.0547758
0              4              0         -15.15        2.82743          15.25        2.46214      0.0535872
0              5              0         -15.15        3.45575          15.25        2.46575      0.0633484
0              6              0         -15.15        4.08407          15.25         2.5192      0.0552727
0              7              0         -15.15        4.71239          15.25        2.37758      0.0536278
0              8              0         -15.15        5.34071          15.25        2.38109      0.0541856
0              9              0         -15.15        5.96903          15.25        2.61033      0.0583712
1              0              0         -45.45       0.314159          15.25        2.59917      0.0557972
1              1              0         -45.45       0.942478          15.25        2.51593      0.0509921
1              2              0         -45.45         1.5708          15.25        2.59713      0.0525367
1              3              0         -45.45        2.19911          15.25        2.65025      0.0586844
1              4              0         -45.45        2.82743          15.25        2.64216      0.0559233
1              5              0         -45.45        3.45575          15.25        2.56688      0.0623772
1              6              0         -45.45        4.08407          15.25        2.63836      0.0492153
1              7              0         -45.45        4.71239          15.25        2.61226      0.0514005
1              8              0         -45.45        5.34071          15.25        2.68362      0.0587183
1              9              0         -45.45        5.96903          15.25        2.64656      0.0498921
2              0              0         -75.75       0.314159          15.25        2.80086      0.0563671
2              1              0         -75.75       0.942478          15.25        2.85172      0.0512456
2              2              0         -75.75         1.5708          15.25        2.82311       0.051707
2              3              0         -75.75        2.19911          15.25        2.69986       0.060343
2              4              0         -75.75        2.82743          15.25        2.87556      0.0507323
2              5              0         -75.75        3.45575          15.25        2.81002      0.0633713
2              6              0         -75.75        4.08407          15.25        2.74706      0.0560164
2              7              0         -75.75        4.71239          15.25        2.82562      0.0506781
2              8              0         -75.75        5.34071          15.25        2.70045      0.0545352
2              9              0         -75.75        5.96903          15.25        2.82537      0.0513334
3              0              0        -106.05       0.314159          15.25        2.91557      0.0624223
3              1              0        -106.05       0.942478          15.25        3.04478      0.0558543
3              2              0        -106.05         1.5708          15.25        2.94774      0.0602473
3              3              0        -106.05        2.19911          15.25        3.10661      0.0627753
3              4              0        -106.05        2.82743          15.25        2.95618      0.0626204
3              5              0        -106.05        3.45575          15.25         2.9494      0.0598226
3              6              0        -106.05        4.08407          15.25        2.97187      0.0564812
3              7              0        -106.05        4.71239          15.25        2.92647      0.0505672
3              8              0        -106.05        5.34071          15.25        2.98038      0.0472278
3              9              0        -106.05        5.96903          15.25        2.95251      0.0536745
4              0              0        -136.35       0.314159          15.25        3.24124      0.0666185
4              1              0        -136.35       0.942478          15.25        3.18611       0.061829
4              2              0        -136.35         1.5708          15.25        3.32839      0.0635227
4              3              0        -136.35        2.19911          15.25        3.24305      0.0563288
4              4              0        -136.35        2.82743          15.25        3.29596      0.0685296
4              5              0        -136.35        3.45575          15.25        3.22438      0.0611056
4              6              0        -136.35        4.08407          15.25         3.1666      0.0604902
4              7              0        -136.35        4.71239          15.25        3.26585      0.0665582
4              8              0        -136.35        5.34071          15.25        3.25623      0.0587213
4              9              0        -136.35        5.96903          15.25        3.12073       0.061304
5              0              0        -166.65       0.314159          15.25        3.50541      0.0693087
5              1              0        -166.65       0.942478          15.25        3.58543      0.0638486
5              2              0        -166.65         1.5708          15.25        3.66003       0.072713
5              3              0        -166.65        2.19911          15.25        3.55353      0.0648012
5              4              0        -166.65        2.82743          15.25         3.6718      0.0651626
5              5              0        -166.65        3.45575          15.25        3.62574      0.0737118
5              6              0        -166.65        4.08407          15.25        3.59954      0.0646184
5              7              0        -166.65        4.71239          15.25        3.62406      0.0640738
5              8              0        -166.65        5.34071          15.25        3.63622      0.0639478
5              9              0        -166.65        5.96903          15.25        3.71706       0.060414
6              0              0        -196.95       0.314159          15.25        3.95522      0.0659933
6              1              0        -196.95       0.942478          15.25        4.06484      0.0678001
6              2              0        -196.95         1.5708          15.25        3.99509      0.0703111
6              3              0        -196.95        2.19911          15.25        4.08572      0.0690304
6              4              0        -196.95        2.82743          15.25         4.0548      0.0712307
6              5              0        -196.95        3.45575          15.25         4.0931      0.0792496
6              6              0        -196.95        4.08407          15.25        3.99906       0.063045
6              7              0        -196.95        4.71239          15.25        4.04366      0.0634358
6              8              0        -196.95        5.34071          15.25        3.99272      0.0670788
6              9              0        -196.95        5.96903          15.25        4.02663      0.0704403
7              0              0        -227.25       0.314159          15.25        4.73298      0.0723166
7              1              0        -227.25       0.942478          15.25        4.80633      0.0799071
7              2              0        -227.25         1.5708          15.25         4.6748        0.07486
7              3              0        -227.25        2.19911          15.25        4.83888      0.0712471
7              4              0        -227.25        2.82743          15.25        4.67177      0.0788069
7              5              0        -227.25        3.45575          15.25        4.80071      0.0757303
7              6              0        -227.25        4.08407          15.25        4.63848      0.0796924
7              7              0        -227.25        4.71239          15.25        4.65254      0.0700475
7              8              0        -227.25        5.34071          15.25        4.54786      0.0721346
7              9              0        -227.25        5.96903          15.25        4.75443      0.0730069
8              0              0        -257.55       0.314159          15.25        5.56843      0.0830539
8              1              0        -257.55       0.942478          15.25        5.38204      0.0846694
8              2              0        -257.55         1.5708          15.25        5.61679      0.0873755
8              3              0        -257.55        2.19911          15.25        5.34302      0.0904152
8              4              0        -257.55        2.82743          15.25         5.4969      0.0785975
8              5              0        -257.55        3.45575          15.25        5.28885      0.0842224
8              6              0        -257.55        4.08407          15.25        5.35873      0.0848635
8              7              0        -257.55        4.71239          15.25        5.46998      0.0738422
8              8              0        -257.55        5.34071          15.25        5.37115      0.0925013
8              9              0        -257.55        5.96903          15.25        5.46899      0.0837423
9              0              0        -287.85       0.314159          15.25        6.53376       0.097728
9              1              0        -287.85       0.942478          15.25        6.35538      0.0856061
9              2              0        -287.85         1.5708          15.25        6.61131      0.0807562
9              3              0        -287.85        2.19911          15.25        6.49147      0.0835252
9              4              0        -287.85        2.82743          15.25        6.39475      0.0823505
9              5              0        -287.85        3.45575          15.25        6.27623       0.107579
9              6              0        -287.85        4.08407          15.25        6.40235      0.0950347
9              7              0        -287.85        4.71239          15.25        6.30531      0.0870251
9              8              0        -287.85        5.34071          15.25        6.28809      0.0852793
9              9              0        -287.85        5.96903          15.25        6.35689      0.0994286
0              0              1         -15.15        0.20944          45.75        2.49594      0.0403328
0              1              1         -15.15       0.628319          45.75        2.38511      0.0386856
0              2              1         -15.15         1.0472          45.75        2.44481      0.0390696
0              3              1         -15.15        1.46608          45.75        2.43066      0.0463429
0              4              1         -15.15        1.88496          45.75        2.45554       0.039939
0              5              1         -15.15        2.30383          45.75        2.45055      0.0435013
0              6              1         -15.15        2.72271          45.75        2.53231      0.0440723
0              7              1         -15.15        3.14159          45.75        2.52056      0.0409031
0              8              1         -15.15        3.56047          45.75        2.50474      0.0409041
0              9              1         -15.15        3.97935          45.75        2.44416      0.0401392
0             10              1         -15.15        4.39823          45.75        2.51841      0.0443172
0             11              1         -15.15        4.81711          45.75        2.55753      0.0405851
0             12              1         -15.15        5.23599          45.75        2.43964      0.0385895
0             13              1         -15.15        5.65487          45.75        2.51543      0.0395797
0             14              1         -15.15        6.07375          45.75        2.48665      0.0393538
1              0              1         -45.45        0.20944          45.75        2.52283      0.0390465
1              1              1         -45.45       0.628319          45.75        2.57434      0.0379699
1              2              1         -45.45         1.0472          45.75        2.57259      0.0392315
1              3              1         -45.45        1.46608          45.75        2.60394      0.0404424
1              4              1         -45.45        1.88496          45.75        2.59113      0.0384237
1              5              1         -45.45        2.30383          45.75        2.59737      0.0392137
1              6              1         -45.45        2.72271          45.75        2.57956      0.0396008
